state,playerid,wagerid,event_start,placed_date,settled_date,sportname,bet_type,result,net_stake,ggr,legresult,decimalodds
State1,30651211.8,1693004.1579375,2021-04-28 00:30:00+00,2021-04-27,2021-04-27,nhl,straight,won,6.64,-4.96,won,1.74627
State1,22237170.912,1696370.6029375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,parlay,lost,5.0,5.0,won,1.78125
State1,22237170.912,1696370.6029375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,parlay,lost,5.0,5.0,lost,1.86207
State1,22237170.912,1696370.6029375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,parlay,lost,5.0,5.0,lost,1.74627
State1,22237170.912,1696370.6029375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,parlay,lost,5.0,5.0,lost,1.78125
State1,4682364.588,1696652.3629375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,won,5.0,-2.87,won,1.57471
State1,4682364.588,1696680.2454375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,won,5.0,-1.28,won,1.25641
State1,22241058.642,1701957.3754375,2021-04-27 19:00:00+00,2021-04-27,2021-04-27,champions league,straight,lost,5.0,5.0,lost,2.5
State1,25492851.846,1702804.1229375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,straight,lost,10.0,10.0,lost,1.71429
State1,25492851.846,1702826.1354375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,straight,lost,10.0,10.0,lost,1.96154
State1,1499189.274,1702908.3154375,2021-04-27 23:15:00+00,2021-04-27,2021-04-27,nba,parlay,lost,6.31,6.31,lost,1.90909
State1,1499189.274,1702908.3154375,2021-04-28 01:45:00+00,2021-04-27,2021-04-27,nba,parlay,lost,6.31,6.31,won,1.90909
State1,22210531.794,1703013.9754375,2021-04-27 23:06:00+00,2021-04-27,2021-04-27,mlb,straight,lost,25.0,25.0,lost,2.06
State1,26285974.902,1704378.7504375,2021-04-27 23:40:00+00,2021-04-27,2021-04-27,mlb,straight,lost,6.0,6.0,lost,1.83333
State1,22237170.912,1704456.5279375,2021-04-27 23:15:00+00,2021-04-27,2021-04-27,nba,straight,won,20.0,-15.38,won,1.76923
State1,26285974.902,1704601.8104375,2021-04-28 01:41:00+00,2021-04-27,2021-04-27,mlb,straight,lost,6.0,6.0,lost,1.90909
State1,26285974.902,1704639.9654375,2021-04-28 01:46:00+00,2021-04-27,2021-04-27,mlb,straight,won,6.0,-5.45,won,1.90909
State1,22251963.888,1704896.7779375,2021-04-27 19:00:00+00,2021-04-27,2021-04-28,champions league,straight,lost,20.0,20.0,lost,2.5
State1,22251963.888,1705128.6429375,2021-04-27 19:00:00+00,2021-04-27,2021-04-27,champions league,straight,won,15.0,-37.5,won,3.5
State1,22251963.888,1705156.5254375,2021-04-27 19:00:00+00,2021-04-27,2021-04-27,champions league,straight,won,20.0,-10.0,won,1.5
State1,26285974.902,1705379.5854375,2021-04-27 22:11:00+00,2021-04-27,2021-04-27,mlb,straight,won,6.0,-4.29,won,1.71429
State1,22248407.214,1706500.7554375,2021-04-27 19:00:00+00,2021-04-27,2021-04-27,champions league,straight,lost,25.0,25.0,lost,12.0
State1,22237170.912,1713450.8354375,2021-04-27 23:11:00+00,2021-04-27,2021-04-27,nba,straight,lost,20.0,20.0,lost,1.92593
State1,22237170.912,1713624.0004375,2021-04-28 01:10:00+00,2021-04-27,2021-04-27,nba,straight,lost,5.0,5.0,lost,2.04
State1,22209682.374,1715136.9929375,2021-04-27 22:36:00+00,2021-04-27,2021-04-27,mlb,straight,won,11.2,-10.0,won,1.89286
State1,22247333.46,1717429.2279375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,lost,25.0,25.0,lost,6.0
State1,22824758.286,1718246.6254375,2021-04-27 23:21:00+00,2021-04-27,2021-04-27,mlb,straight,lost,10.0,10.0,lost,5.5
State1,22248407.214,1720612.2354375,2021-04-28 00:06:00+00,2021-04-27,2021-04-27,mlb,straight,lost,25.0,25.0,lost,3.8
